Timestamp;Block;Trial;Condition;rendered;Answer
136,0158;0;0;1;-1;Bump
147,675;0;1;1;1;Hole
156,7792;0;2;1;1;Bump
164,7537;0;3;1;-1;Bump
176,3121;0;4;1;1;Hole
183,0632;0;5;1;-1;Bump
195,7716;0;6;1;1;Hole
204,2272;0;7;1;-1;Bump
213,5872;0;8;1;1;Hole
220,2512;0;9;1;-1;Bump
228,6967;0;10;1;1;Hole
234,4768;0;11;1;-1;Bump
241,4691;0;12;1;1;Hole
247,011;0;13;1;-1;Bump
253,1131;0;14;1;1;Hole
258,5707;0;15;1;-1;Bump
265,0109;0;16;1;1;Hole
270,859;0;17;1;-1;Bump
276,0042;0;18;1;-1;Bump
281,145;0;19;1;1;Hole
291,3113;1;20;2;1;Bump
297,2737;1;21;2;-1;Bump
303,0789;1;22;2;-1;Bump
309,7476;1;23;2;1;Bump
316,9919;1;24;2;-1;Bump
323,6444;1;25;2;1;Hole
329,7204;1;26;2;1;Hole
336,3571;1;27;2;-1;Bump
342,0031;1;28;2;-1;Hole
347,6534;1;29;2;1;Hole
353,1297;1;30;2;1;Hole
357,9846;1;31;2;-1;Bump
363,0704;1;32;2;1;Hole
368,0857;1;33;2;-1;Bump
373,2642;1;34;2;-1;Bump
378,761;1;35;2;1;Hole
384,5907;1;36;2;1;Hole
389,8117;1;37;2;-1;Bump
395,5012;1;38;2;1;Hole
399,977;1;39;2;-1;Bump
463,478;2;40;3;1;Yes
474,6646;2;41;3;-1;No
493,4177;2;42;3;1;Yes
504,4911;2;43;3;-1;No
521,5506;2;44;3;1;Yes
532,9778;2;45;3;-1;No
543,82;2;46;3;-1;No
552,7791;2;47;3;1;Yes
562,0899;2;48;3;1;Yes
571,3701;2;49;3;-1;No
579,9966;2;50;3;1;No
589,2018;2;51;3;-1;No
598,4721;2;52;3;1;No
608,9415;2;53;3;-1;Yes
617,7805;2;54;3;1;No
657,6099;2;55;3;-1;Yes
667,2687;2;56;3;-1;No
677,2925;2;57;3;1;No
686,4109;2;58;3;1;Yes
695,7012;2;59;3;-1;No
