User;0.25 C2;0.5 C2;0.75 C2;Sensitivity C2;Alpha C2;Beta C2;0.25 C3;0.5 C3;0.75 C3;Sensitivity C3;Alpha C3;Beta C3
0;0,465;0,599;0,731;0,266;-0,513;1,169;0,411;0,505;0,595;0,184;-0,683;0,956
1;0,795;0,876;0,935;0,14;-0,119;0,342;0,588;0,638;0,677;0,09;-0,444;0,339
2;0,495;0,639;0,768;0,273;-0,426;1,015;0,596;0,667;0,728;0,132;-0,405;0,519
3;0,444;0,624;0,815;0,371;-0,472;1,572;0,436;0,677;0,957;0,521;-0,39;2,032
4;0,374;1,101;2,52;2,146;0,131;4,757;0,459;0,534;0,613;0,155;-0,661;0,671
5;0,537;0,61;0,675;0,138;-0,494;0,592;0,551;0,647;0,734;0,183;-0,435;0,741
6;0,559;0,671;0,776;0,217;-0,398;0,847;0,397;0,57;0,759;0,362;-0,562;1,678
7;0,599;0,737;0,869;0,27;-0,305;0,963;0,62;0,668;0,71;0,09;-0,408;0,34
8;0,413;0,637;0,896;0,483;-0,452;2,006;0,278;0,47;0,711;0,433;-0,755;2,428
9;0,523;0,639;0,748;0,225;-0,448;0,926;0,559;0,671;0,776;0,217;-0,398;0,847
10;0,602;0,742;0,875;0,272;-0,299;0,965;0,433;0,564;0,695;0,262;-0,573;1,223
11;0,505;0,604;0,696;0,191;-0,504;0,829;0,564;0,64;0,71;0,146;-0,455;0,578
12;0,577;0,707;0,829;0,253;-0,347;0,941;0,389;0,625;0,906;0,517;-0,471;2,184
